"study.hrs.perwk","attendance.rate","previous.grades","extracurricular.activities","parent.edu.level","passed"
8.6,71.1,60.4,"Yes","Doctorate","No"
8.2,69.9,51.5,"No","Associate","No"
5.4,94,67.3,"Yes","Associate","Yes"
12,81.2,64.8,"Yes","Bachelor","No"
11.8,38.3,65.3,"No","High School","No"
11.7,72.2,96.9,"Yes","Associate","No"
13.1,72.9,90.4,"Yes","Master","Yes"
9,61.8,65.9,"No","Bachelor","No"
14.6,60.6,55,"No","Master","Yes"
3.6,94.6,87.1,"No","Master","No"
9,57.9,63.1,"No","Doctorate","Yes"
15.2,93.3,59,"No","High School","No"
4.7,70.3,55.6,"Yes","Doctorate","Yes"
14.1,91.5,58.9,"No","High School","No"
6.5,55.9,44,"No","High School","No"
11.3,82.3,79.8,"Yes","Bachelor","No"
17.1,73,49.9,"No","Doctorate","Yes"
11.5,57.3,59.9,"Yes","Associate","No"
17.2,66.1,76.1,"Yes","Doctorate","No"
8.2,48.6,53.8,"No","Bachelor","No"
13.9,86.4,62.6,"No","High School","No"
7.8,60.8,52.1,"Yes","Doctorate","Yes"
13,61.6,82.7,"No","Associate","No"
15.9,85.1,69.9,"Yes","Doctorate","Yes"
14.3,65.9,34.2,"Yes","Bachelor","No"
2.1,70.7,29.1,"No","Associate","Yes"
8.3,72.9,73.7,"Yes","Bachelor","Yes"
8.8,64.6,77.6,"No","Associate","Yes"
11.5,74.7,64.2,"Yes","Master","No"
7.4,85.5,73,"No","Associate","No"
9,86.4,47.2,"No","Doctorate","No"
2.4,93.3,96.8,"Yes","Doctorate","Yes"
10.6,68.2,57.7,"No","Master","Yes"
9,88.2,75.2,"No","Doctorate","Yes"
5.4,81.8,79.4,"Yes","Doctorate","No"
18.9,63.5,59.4,"No","Bachelor","No"
11.4,90.2,35.2,"Yes","Master","No"
6.8,83.4,93.9,"No","Bachelor","No"
11.6,55.5,62.5,"Yes","Associate","Yes"
10,86.2,55.3,"Yes","Master","Yes"
3.3,94.9,55.6,"No","High School","Yes"
2.4,65.1,56.7,"No","Associate","Yes"
7.8,28.1,51.3,"Yes","Associate","No"
3.3,95.2,69,"No","Master","Yes"
4.3,70.5,68.5,"No","Doctorate","Yes"
2.7,36.5,72.8,"No","Master","No"
4,36,47.4,"Yes","High School","No"
11.5,78.3,67.3,"Yes","Bachelor","No"
8,77.9,67.2,"No","Associate","Yes"
8.8,27.3,60.9,"No","Master","Yes"
9.4,97.1,86.7,"No","High School","Yes"
6.9,42.5,50.5,"No","Bachelor","Yes"
14.9,59.6,61,"No","Doctorate","No"
7.9,75,62.9,"Yes","High School","Yes"
11.4,78.7,74.9,"Yes","Master","No"
6.9,75.7,66.1,"No","Bachelor","Yes"
7.6,56.7,46.8,"No","Associate","No"
5.8,53,62.3,"No","Associate","Yes"
0,73.4,56.8,"No","High School","Yes"
9.8,79.7,68.7,"Yes","High School","No"
7.7,76.1,76.8,"Yes","High School","Yes"
2.3,68.8,79.9,"Yes","High School","Yes"
6.8,74.8,67.7,"No","Associate","No"
16.5,70.2,74.7,"No","Bachelor","No"
12.4,97.6,66.3,"Yes","Associate","No"
17.7,72,68.7,"No","Bachelor","Yes"
10.7,67,63.5,"No","High School","No"
15.4,51.6,57.7,"Yes","Doctorate","Yes"
12.3,76.2,39.9,"Yes","Bachelor","Yes"
7.7,93.6,51,"No","High School","Yes"
10.9,66.7,60,"Yes","Bachelor","No"
5.8,48.4,61.8,"Yes","High School","No"
9.5,96,68.9,"No","High School","Yes"
10.1,86.7,70.1,"No","Bachelor","Yes"
4.6,83.4,61.9,"No","Bachelor","Yes"
3.7,88.5,50.9,"Yes","Doctorate","Yes"
6.1,84.7,80.8,"No","Doctorate","Yes"
12.8,66.1,42.1,"No","High School","Yes"
3.2,43.6,75,"Yes","Doctorate","No"
9.5,71.4,45.8,"Yes","High School","Yes"
7.6,70.3,71.8,"Yes","Master","No"
4.7,35.6,84.8,"Yes","Doctorate","Yes"
10.8,55.4,65.5,"Yes","Doctorate","Yes"
14.5,76,71.8,"No","Associate","Yes"
12.3,47.1,41.4,"Yes","Doctorate","Yes"
1.4,94.1,71.3,"No","Doctorate","Yes"
13.1,86.6,69.9,"No","Associate","Yes"
17,70.4,73.3,"No","Bachelor","No"
5.3,82.5,80.5,"Yes","Associate","Yes"
9.7,47.5,55.9,"Yes","Bachelor","No"
7.4,55.8,98.7,"No","Doctorate","Yes"
9.9,96.9,82.6,"Yes","Doctorate","No"
16.2,58.5,88.5,"No","Associate","No"
11.7,58.8,68.8,"No","Bachelor","Yes"
9.8,81.2,55.7,"Yes","Bachelor","Yes"
3.4,69.8,52,"No","Associate","Yes"
5.9,53.1,82.2,"Yes","Doctorate","No"
6.8,94.6,88.6,"Yes","Master","Yes"
14.4,62.1,93.4,"Yes","High School","No"
16,66.8,88.8,"No","Associate","No"
14.1,58.5,45.6,"No","Master","No"
9.9,84.6,86.7,"Yes","Doctorate","No"
18.6,55.8,73.1,"Yes","Associate","No"
8.9,75.6,85,"No","Master","No"
6,76.4,45.8,"No","Bachelor","Yes"
9.8,62.6,67.5,"No","Master","Yes"
17.2,59.1,78.6,"No","Doctorate","No"
6.2,87.5,35.4,"Yes","Bachelor","No"
13.8,80.8,48.2,"No","Associate","Yes"
12.2,56.3,75.3,"Yes","High School","No"
5.3,56.1,49.7,"Yes","Master","No"
8,90.4,41.4,"Yes","Associate","No"
14.2,76.6,52.7,"Yes","Doctorate","Yes"
4,79,67.4,"Yes","Doctorate","No"
4.8,81.8,57.8,"Yes","High School","Yes"
11.5,73.8,97.3,"Yes","High School","Yes"
6.1,77.2,53.8,"No","Doctorate","No"
6.2,90.5,54.4,"No","High School","Yes"
11.2,71.6,77.5,"Yes","Doctorate","Yes"
7.6,95.5,80.7,"Yes","Bachelor","No"
8.8,81.7,71.4,"Yes","Associate","No"
6.6,68.8,92.2,"No","Associate","No"
7.6,68.2,63,"Yes","Doctorate","Yes"
12.6,74.1,76.5,"No","Doctorate","Yes"
0.4,92.1,57.4,"Yes","Doctorate","No"
15.2,41.6,53.6,"Yes","Bachelor","Yes"
10.1,76.4,66.8,"Yes","Doctorate","Yes"
14.8,56.1,84.1,"No","Associate","No"
13.8,70.3,64.4,"No","Master","Yes"
13,61.1,62.4,"No","High School","Yes"
16,74.2,59.7,"Yes","Associate","Yes"
4.9,80.2,68.5,"Yes","Master","No"
16.4,66.8,56,"Yes","Master","Yes"
8.7,83,53,"No","High School","No"
11.7,72,62.1,"Yes","High School","No"
0.6,85.2,57.9,"No","Associate","Yes"
14.8,75.2,33.5,"Yes","High School","No"
7.7,75.6,64.8,"No","Master","Yes"
0.2,66,52.8,"No","Master","No"
4.5,60.5,58.1,"Yes","Doctorate","No"
11.2,89,48,"Yes","Bachelor","Yes"
8.3,65.6,51.8,"Yes","Bachelor","No"
8.7,69,61.3,"No","Master","No"
5.4,86.1,66.9,"No","Bachelor","Yes"
8.4,86.9,77,"No","Master","Yes"
1.8,92.1,83,"No","High School","Yes"
9,89.2,74.5,"No","Bachelor","No"
14.5,82.9,71.5,"Yes","Associate","Yes"
22.6,71.1,50.8,"Yes","Associate","No"
14.8,53.2,95.8,"No","Master","Yes"
9.3,24.5,79.2,"Yes","High School","No"
6.9,85.1,65.6,"Yes","Bachelor","Yes"
9.1,60.1,83.7,"No","Doctorate","Yes"
10.4,77.6,67.2,"Yes","Associate","Yes"
9.9,82,43.1,"Yes","High School","Yes"
1.9,73.9,56.1,"Yes","Associate","No"
11.2,95.3,55.3,"Yes","High School","No"
8.3,93.6,76.6,"No","High School","No"
5.6,79.6,71.3,"Yes","Bachelor","No"
11.4,51,47.1,"Yes","Master","Yes"
16.5,76.4,72.6,"Yes","Master","No"
17.4,85.9,67.8,"Yes","Associate","Yes"
1.2,82.5,56.3,"No","Master","Yes"
7.7,93.5,48,"No","Bachelor","No"
8,53.7,91.2,"Yes","Associate","No"
9.8,81,58.2,"Yes","High School","No"
0.7,60.6,40.6,"Yes","High School","Yes"
14.6,96.4,69.8,"No","Associate","No"
0.6,89.5,58.2,"Yes","Master","Yes"
4.9,74.9,74.5,"Yes","High School","No"
9.5,45,59.9,"Yes","Master","No"
1.9,94,67.8,"No","Master","Yes"
4.7,64.3,66.4,"No","Doctorate","Yes"
9.4,68.1,71.6,"Yes","Associate","Yes"
3.8,80.7,50.3,"Yes","Bachelor","No"
9.7,65.2,40.6,"No","Associate","No"
6,69.2,76,"Yes","Master","Yes"
9.7,56.3,49.1,"Yes","Doctorate","No"
0.5,37.7,82,"Yes","Master","No"
12.2,74.9,65.8,"Yes","Associate","No"
8,86.7,60.4,"Yes","Master","Yes"
8.4,74.2,80.7,"Yes","High School","No"
4.4,84.7,97.3,"Yes","Associate","Yes"
3.3,69.9,65.6,"Yes","Associate","No"
13.1,73.9,79.3,"Yes","Master","No"
2,73.3,75.1,"No","Master","No"
15.1,61.1,99.1,"No","Master","No"
0.4,26.3,60.3,"No","High School","No"
12.2,68.1,34.7,"No","Associate","No"
13.5,91,71.6,"No","Master","No"
11.8,43.6,59.2,"Yes","Bachelor","Yes"
5.2,88.5,76.1,"No","Bachelor","No"
8.9,79.2,56.3,"No","Associate","Yes"
18.3,67.5,89.8,"Yes","Doctorate","No"
1,53.4,46,"No","High School","No"
11.6,58.7,57.2,"No","Master","Yes"
15.8,63.8,57.3,"Yes","Doctorate","No"
2.9,87.8,57.7,"Yes","Bachelor","Yes"
3.7,60.8,59,"No","High School","Yes"
12,64.2,83.2,"No","Doctorate","No"
9.7,72.1,71.2,"No","Bachelor","No"
6.1,76.9,77.4,"Yes","Master","Yes"
10.6,35,63.2,"Yes","Doctorate","No"
9.7,91,53.3,"Yes","Doctorate","No"
12.3,63.8,57.2,"Yes","Master","Yes"
18.1,93.1,69.1,"Yes","Associate","Yes"
20.2,45.9,51.5,"No","High School","Yes"
12.3,77,71.4,"Yes","Doctorate","No"
6.2,66.6,80.6,"No","Doctorate","Yes"
21.4,82.9,71.8,"Yes","Master","Yes"
4.7,67.8,56.9,"No","Master","Yes"
21.6,58.6,62.2,"No","Doctorate","No"
7.2,69.3,52.7,"Yes","Associate","No"
14.7,58.2,74.6,"No","High School","Yes"
3.2,75.8,40,"Yes","Doctorate","Yes"
14.6,47,45.8,"No","Doctorate","No"
7.9,71.1,61.2,"No","High School","No"
11.1,82.9,72.2,"No","Bachelor","Yes"
9.8,87.7,68.9,"Yes","Bachelor","No"
13.8,80.9,68,"Yes","Bachelor","Yes"
18.1,80,61.3,"Yes","Associate","No"
2.4,35.4,52.5,"Yes","Associate","No"
17.7,87.2,69.8,"Yes","Bachelor","Yes"
21.8,60.2,70.1,"No","Bachelor","No"
5.5,62.3,43,"No","Master","No"
2,95.3,88.4,"No","Bachelor","Yes"
23.4,67.5,66.7,"No","High School","Yes"
13.1,59.4,53.1,"Yes","High School","Yes"
13.9,49.8,65.8,"Yes","High School","Yes"
13.9,83.5,70.8,"No","Doctorate","Yes"
6.5,49.4,75,"No","Doctorate","Yes"
9.3,88.3,68.4,"Yes","Doctorate","No"
19.7,82.5,86.5,"No","High School","No"
4.2,87.5,52.2,"Yes","High School","Yes"
6.4,86.9,45.8,"No","Doctorate","Yes"
8.2,65.2,60.9,"No","Associate","No"
6.6,82.4,59.7,"Yes","Master","Yes"
3.5,62.5,73.2,"No","Doctorate","No"
0.9,24.7,57.2,"Yes","Bachelor","No"
15.5,54,75.5,"Yes","High School","Yes"
14.2,85,53.6,"Yes","High School","Yes"
7.1,45.4,80.3,"No","Master","No"
17.8,96,87.3,"No","Associate","No"
14.7,64.8,85.9,"No","Doctorate","No"
11,33.4,47.8,"No","Associate","Yes"
12.6,91.6,61.6,"Yes","Doctorate","Yes"
11.9,60,66.4,"No","High School","No"
9.2,90.8,71,"No","Bachelor","Yes"
8,87,44.1,"No","Associate","No"
15.6,66.2,45.7,"No","Bachelor","Yes"
17.4,78.7,79.2,"Yes","Master","Yes"
7.3,84.4,67.1,"No","Bachelor","No"
5.6,61.8,67,"Yes","Master","No"
6.8,64.3,51.5,"Yes","Associate","No"
8.8,59.8,54.7,"No","Associate","Yes"
12.7,99.3,51,"No","Master","No"
10.2,78.1,42.9,"Yes","Bachelor","Yes"
6.8,77.6,72.3,"Yes","High School","Yes"
5.4,64.9,56.5,"No","Master","No"
11.1,71,76.7,"No","Bachelor","Yes"
8.7,55.2,68.8,"No","High School","No"
7.2,82.7,49.5,"Yes","Doctorate","Yes"
6.7,87.8,62.2,"No","Doctorate","Yes"
2.8,90.3,71.2,"Yes","Associate","Yes"
8.8,73.5,45.2,"Yes","Bachelor","Yes"
11.2,58,73,"Yes","Associate","Yes"
4.6,58.8,67.5,"Yes","Associate","No"
5.2,70.2,68.9,"Yes","Doctorate","Yes"
9,39.6,79.6,"No","Associate","No"
9.3,86.5,57.1,"Yes","Doctorate","Yes"
6.5,29.3,69.5,"Yes","Associate","No"
6.8,66.7,77.2,"No","Bachelor","No"
5.4,40.7,40.8,"No","Master","Yes"
17.8,68.9,52.1,"No","Master","Yes"
8.3,69.3,55.9,"No","High School","No"
7.2,93.6,74.1,"No","High School","Yes"
10.3,49.9,51.7,"Yes","High School","Yes"
16.3,47.8,58.1,"Yes","High School","Yes"
14,61.1,62.7,"Yes","Bachelor","No"
10.3,95.6,74.8,"Yes","Associate","No"
16.3,91.2,59.8,"Yes","Doctorate","Yes"
0.6,73.6,69,"No","Bachelor","Yes"
11.2,64.8,71.2,"No","High School","Yes"
11.5,71.9,72.2,"No","High School","Yes"
11.6,82.2,25.8,"Yes","Bachelor","Yes"
1.9,77,69.1,"No","Master","Yes"
4.9,46.8,38.6,"Yes","Associate","Yes"
9.2,45.4,64.7,"Yes","High School","No"
19.6,89.5,74.7,"Yes","Bachelor","Yes"
6.7,53.8,36.2,"Yes","Doctorate","Yes"
3.5,83.1,48.3,"Yes","Master","No"
14.1,39.2,58.5,"Yes","Master","No"
23.1,76.4,59.2,"No","Master","Yes"
15.5,59.4,68.9,"Yes","Doctorate","No"
6.3,33.2,47.2,"Yes","High School","Yes"
13.4,49.7,63,"No","Associate","No"
6,69.5,86.2,"No","Doctorate","Yes"
19.7,83.3,48.8,"No","Master","Yes"
5.7,84.1,78.1,"Yes","Associate","No"
6.9,35.5,61.5,"Yes","High School","Yes"
13.6,86.5,55.2,"Yes","Master","No"
9.9,83.3,87.8,"No","Doctorate","Yes"
10.2,49.6,70.9,"Yes","High School","Yes"
15.6,66.8,61.7,"No","Master","No"
11.4,86.9,74,"Yes","High School","No"
8.5,94.5,76.1,"No","Master","Yes"
6.2,55.2,53.7,"No","Bachelor","Yes"
6.2,64.3,54.8,"Yes","Master","Yes"
9,61.2,65,"Yes","Master","No"
2.9,79.8,88.2,"Yes","Doctorate","No"
14.1,63.5,82.3,"No","Doctorate","Yes"
16.5,76.9,74.7,"Yes","Doctorate","Yes"
15.2,63.6,45.8,"No","Master","No"
5.2,78.8,61,"Yes","Doctorate","No"
5.7,67.4,50.3,"Yes","Doctorate","No"
18.3,52.6,49,"No","Master","No"
4,96.1,69.9,"No","Bachelor","Yes"
1.1,85,31.9,"No","Master","No"
8.5,45,58.1,"Yes","Associate","Yes"
12.9,70.4,49.1,"No","Bachelor","No"
9.9,79.9,65.2,"No","Master","Yes"
12.6,41.3,54,"No","Master","No"
3.9,64.3,69.4,"Yes","Associate","No"
5.9,46.9,82.7,"Yes","Bachelor","Yes"
12.4,54.4,66,"Yes","Associate","Yes"
13.5,81.8,76.8,"No","Bachelor","Yes"
11.1,74,84.6,"No","Associate","No"
14.7,53.1,67.2,"Yes","Doctorate","Yes"
19.1,92.7,63.3,"No","Associate","No"
16.4,33.5,92.2,"Yes","Doctorate","No"
13.2,60.2,37.8,"No","Doctorate","No"
15.2,51.7,68.6,"Yes","High School","No"
2.4,64.6,63.3,"Yes","Master","Yes"
18,68,95,"No","High School","No"
8.6,84,61.2,"No","Doctorate","No"
4.5,74.2,48.7,"No","Doctorate","Yes"
6.6,78.9,81.4,"No","Doctorate","Yes"
8.3,68.6,57.6,"No","Doctorate","No"
16.6,74.1,72.1,"Yes","Master","No"
10.4,62.5,54.6,"Yes","Doctorate","No"
0.9,96.2,74.4,"Yes","Master","Yes"
3.9,86.8,61.3,"Yes","Bachelor","Yes"
5,75.8,70.5,"No","Associate","Yes"
7.6,98.6,80.5,"No","High School","No"
10.6,55.9,61.6,"No","Doctorate","Yes"
7.7,52.5,41.4,"No","High School","No"
19.6,47.1,61.9,"No","Doctorate","Yes"
14,88.4,58.9,"Yes","Master","Yes"
14.7,36.5,69.4,"Yes","High School","Yes"
7,89.1,83.8,"No","Bachelor","No"
0.5,83,75.5,"Yes","High School","Yes"
16.1,69.6,47.5,"No","High School","Yes"
7.8,96.1,77.7,"Yes","Doctorate","No"
8.9,83.8,63.3,"No","Master","Yes"
18.1,59.9,35.6,"No","High School","No"
6.9,78.4,45.6,"Yes","Bachelor","No"
11.6,67.8,89.4,"Yes","Doctorate","Yes"
17.4,91.6,70.8,"No","Bachelor","No"
11.7,67.4,57.7,"No","Bachelor","Yes"
9.3,82.2,54.2,"No","Doctorate","Yes"
20.2,59.4,71.2,"Yes","Doctorate","No"
11.2,72.9,65.1,"Yes","Doctorate","Yes"
10.5,84.2,53,"Yes","Doctorate","Yes"
12.4,80.4,87.4,"Yes","Master","Yes"
7,91.9,88.8,"Yes","Master","Yes"
8.7,50.3,62.8,"Yes","Bachelor","Yes"
12.8,80.7,70.4,"Yes","Doctorate","Yes"
12.8,55.3,51,"Yes","High School","Yes"
16.2,63.4,68.9,"No","Doctorate","No"
19.3,80.4,70.5,"No","Master","Yes"
7.4,94,65.1,"No","Master","No"
10.7,47.5,43.7,"No","Doctorate","Yes"
4.5,95,46,"Yes","Doctorate","Yes"
12.8,75.9,64.2,"No","Master","No"
13.9,53.6,50.2,"No","Master","Yes"
7.6,84.2,51.5,"No","Doctorate","Yes"
9.8,78.9,71.2,"No","Associate","Yes"
4.3,62.5,66,"No","Bachelor","Yes"
10.8,99.3,68.9,"Yes","Master","Yes"
11.3,99.8,34.1,"No","Master","No"
17.7,90.8,71.2,"Yes","Associate","Yes"
6,88,74.2,"No","Bachelor","No"
15.6,74.8,30.3,"No","Bachelor","Yes"
12.8,79.7,93.8,"Yes","Master","No"
19.6,85.9,39.5,"No","High School","Yes"
9.5,63.8,82.1,"Yes","Bachelor","No"
2.6,90.3,77.9,"No","High School","Yes"
11.7,82.6,68,"Yes","Doctorate","No"
9.6,97.5,28.9,"Yes","Bachelor","Yes"
12.7,41.3,69,"No","Master","Yes"
13.3,82.1,90.4,"Yes","Master","No"
7.3,79.2,66.3,"No","Associate","Yes"
5,46.7,60.1,"No","Associate","No"
9.3,69.7,62.1,"Yes","Doctorate","Yes"
1.9,82.9,68.9,"No","Associate","No"
14.3,74.7,50.6,"No","Doctorate","No"
17.9,81.6,56.5,"No","Master","No"
1.7,64.4,69.1,"Yes","Bachelor","Yes"
10.8,74.4,81.7,"Yes","Doctorate","Yes"
12,68.6,74.6,"No","Associate","Yes"
4.6,62.7,82.6,"No","Associate","No"
4.5,53.3,87.5,"No","Doctorate","Yes"
8.3,86.9,74.3,"Yes","High School","No"
17,85,62,"Yes","Associate","Yes"
9.6,49.3,64,"Yes","Doctorate","No"
13.6,92.4,68.8,"No","High School","Yes"
0,36.8,57,"No","Bachelor","No"
15.7,59.8,71.2,"No","Master","No"
9.9,50.3,76.8,"Yes","Doctorate","No"
16.5,83.7,91.7,"Yes","Doctorate","No"
3.7,64.3,97.1,"No","Bachelor","No"
2.2,75.5,59.7,"Yes","High School","No"
7.2,55.8,47.3,"Yes","Master","No"
13.3,56.7,51.8,"Yes","High School","Yes"
10.5,94.4,55.7,"Yes","Associate","No"
10.5,71.6,39.9,"Yes","High School","Yes"
6.9,56.2,79.3,"Yes","High School","No"
4.9,66.4,52.6,"Yes","Bachelor","Yes"
7.7,96.1,75.5,"Yes","Master","Yes"
6.3,94.7,70.4,"No","Bachelor","No"
12.2,60.2,52,"Yes","Bachelor","No"
11.9,77.3,55.8,"Yes","Doctorate","Yes"
8.9,82.4,79.2,"No","Doctorate","Yes"
11,91.3,66.6,"Yes","Bachelor","No"
4,56,75,"Yes","Master","Yes"
8.9,84.7,77.4,"No","Bachelor","Yes"
8,84.8,74.8,"No","High School","Yes"
4.7,60.8,36.7,"Yes","Master","Yes"
12.5,83.5,77,"Yes","Doctorate","No"
12.9,75,71,"Yes","Associate","No"
13.6,44.4,65.5,"Yes","Master","Yes"
11.5,77.2,37.4,"No","High School","No"
10.6,54.5,58.2,"No","Associate","No"
9.9,63,47.8,"No","Master","Yes"
5.7,37.9,55,"No","High School","No"
5.9,79,71.6,"No","High School","No"
6.2,88.7,76.9,"Yes","Associate","Yes"
13.7,71.6,51.5,"No","High School","No"
2.9,85.3,49.7,"No","Bachelor","Yes"
7.6,85.4,39.3,"Yes","Bachelor","Yes"
12.1,50.7,81,"No","Bachelor","Yes"
3.9,62.4,52.5,"Yes","Doctorate","Yes"
15.9,90.5,77.3,"No","Bachelor","No"
3.9,73.6,63.5,"Yes","Associate","No"
4.1,53.2,50.8,"No","High School","Yes"
19.8,84.1,53.6,"No","Associate","No"
5.9,64.7,59.7,"No","Bachelor","Yes"
7.8,78.6,85.2,"No","Doctorate","No"
2.9,90.4,59.2,"No","High School","Yes"
12.6,68.5,96.1,"No","High School","Yes"
10.9,66.5,52.1,"Yes","Doctorate","Yes"
2.4,59.2,70.3,"No","Bachelor","Yes"
3.7,99.3,78.2,"Yes","Doctorate","Yes"
13.9,91.6,74,"No","Bachelor","Yes"
7.7,60.5,42.1,"No","Bachelor","No"
1,68.3,71.1,"Yes","Doctorate","Yes"
5.6,70.2,44.2,"Yes","Bachelor","Yes"
16,90.9,61.4,"Yes","Associate","No"
16.2,65.1,57.8,"Yes","Associate","Yes"
8.5,85.1,69.9,"No","Associate","Yes"
11.2,66.9,78,"No","Master","Yes"
3,99.6,44.6,"No","Master","No"
13.7,52.1,71.9,"Yes","Bachelor","Yes"
11.7,64.2,46.3,"No","Bachelor","No"
8.7,67.5,27.4,"No","High School","Yes"
3.5,43.5,51.3,"No","Master","No"
9.7,69.5,53.1,"No","High School","Yes"
1.8,68.3,75.2,"No","Bachelor","Yes"
16.9,80.8,93.9,"No","Doctorate","Yes"
3.8,92,60.5,"Yes","High School","Yes"
16.5,71.6,45.2,"Yes","Doctorate","Yes"
6,77.7,41.1,"Yes","Doctorate","No"
15.4,62.6,72.1,"No","Associate","Yes"
3.8,69.9,53.1,"Yes","Doctorate","Yes"
11.8,50.6,38,"No","High School","Yes"
12.1,62.9,86.1,"Yes","Doctorate","Yes"
6.3,50.3,75.3,"Yes","Doctorate","Yes"
1.9,75.2,60.7,"No","Bachelor","No"
7.7,67.2,49.5,"No","Master","Yes"
2.9,64.1,43.2,"Yes","Doctorate","Yes"
3.3,75.3,50.9,"No","Doctorate","Yes"
10.6,25.5,90.4,"No","Master","No"
9.6,68.7,59.6,"No","Doctorate","No"
1.6,87.2,92.7,"No","Doctorate","No"
13.8,46.3,91.5,"No","Bachelor","No"
17.6,95.9,72,"Yes","Associate","Yes"
5.2,81,94.3,"Yes","Bachelor","No"
11.3,64.3,65.4,"Yes","Master","No"
14,77.2,75.9,"No","Doctorate","Yes"
10.5,70.6,57.1,"Yes","Bachelor","Yes"
5.9,46.2,65.4,"Yes","High School","Yes"
10.3,75.9,69.7,"No","High School","No"
8.4,73.7,64.3,"No","High School","No"
8.3,58.3,80.7,"Yes","Associate","No"
11.6,48.6,99.8,"No","Doctorate","No"
5.4,72.5,86.3,"No","Associate","Yes"
4,82.3,59.8,"Yes","Doctorate","No"
12.5,96,72.6,"Yes","Doctorate","Yes"
7.3,59.6,53.1,"No","Bachelor","No"
8.3,59.3,83.2,"Yes","High School","Yes"
14.8,65.6,77,"No","High School","No"
12.6,68.3,70,"No","Bachelor","No"
13.5,99.4,27.1,"No","High School","Yes"
11.9,42.1,64.7,"No","Master","No"
7,63,51.4,"No","High School","Yes"
12.5,66,68.1,"No","Bachelor","No"
13.1,77.8,56.9,"Yes","High School","No"
8.9,58.9,53.6,"No","Doctorate","No"
5.5,63.2,56.5,"Yes","Doctorate","Yes"
8.7,75.6,31,"No","Master","No"
19.1,69.1,67.3,"No","Master","Yes"
5.9,57,88.4,"Yes","Bachelor","No"
0,34.6,51.7,"No","High School","No"
7.3,59.8,41.7,"No","Master","No"
5.9,79.3,89,"Yes","High School","No"
3.4,95.2,73.9,"No","Bachelor","No"
6.7,71.6,65,"Yes","High School","Yes"
8.7,98.1,46.8,"Yes","Doctorate","Yes"
4.7,60,62.2,"Yes","High School","Yes"
9.4,89.8,87.9,"Yes","Doctorate","No"
2.7,55.6,81.8,"No","Associate","No"
14.3,60,69.5,"Yes","Associate","No"
9.9,61.9,54.2,"Yes","Associate","Yes"
6.5,92.4,82.7,"No","Associate","Yes"
8.3,99.5,63.1,"Yes","Associate","Yes"
13.2,67.8,62.4,"Yes","Associate","Yes"
4.5,68,84.5,"No","Bachelor","No"
11.9,64.4,76.8,"No","High School","Yes"
15.8,92.3,40.1,"Yes","Associate","Yes"
9.7,77,81.7,"Yes","High School","No"
12.5,52.2,52.5,"Yes","Master","Yes"
16.2,41,38.6,"Yes","Bachelor","Yes"
7.9,68.2,71.4,"No","Associate","Yes"
7.4,68.5,46.2,"Yes","High School","Yes"
0.3,58,59,"Yes","Doctorate","Yes"
4,50.6,71,"Yes","Doctorate","Yes"
12.5,81.1,54.3,"Yes","Master","Yes"
6.1,64.5,68.9,"No","Master","No"
7.5,64.4,78.8,"Yes","High School","No"
8.7,54.2,83.1,"No","Master","No"
8.1,78.4,59.5,"No","High School","Yes"
13.4,76,25.1,"Yes","High School","No"
3.5,82.6,57.5,"No","Bachelor","No"
4.3,64.2,75.4,"No","Associate","No"
8.5,56.8,80.3,"No","Associate","Yes"
2.5,57.3,88.3,"Yes","High School","No"
13.2,50.5,71.8,"No","Bachelor","Yes"
13.3,51.6,71.4,"No","Master","Yes"
17.9,64.1,83.9,"No","Master","Yes"
10.5,58.2,40.8,"No","High School","No"
11.2,91,44.6,"Yes","Bachelor","Yes"
8.7,75.6,66.7,"No","Master","No"
11.7,34.9,86.5,"Yes","Master","No"
4.3,83,51.3,"No","Associate","No"
13.3,87.6,72.4,"Yes","High School","No"
15.6,82,77.4,"No","Bachelor","Yes"
9.4,51.4,52.7,"Yes","Master","Yes"
9.2,87.5,76.8,"Yes","Master","Yes"
9.6,71.1,80.8,"No","Bachelor","Yes"
10.5,81.2,65.2,"Yes","Master","Yes"
16.3,63.3,73.5,"No","High School","No"
20.1,67.4,62.1,"Yes","Bachelor","Yes"
3.3,52.3,56,"Yes","Associate","No"
9.9,87.4,56.5,"No","High School","No"
1.4,64.1,77.8,"Yes","Doctorate","No"
8.4,53.2,59.4,"No","High School","No"
14.5,69.2,49.7,"No","Doctorate","No"
13.9,76.1,66.7,"Yes","Bachelor","No"
6.2,54.9,76.3,"Yes","Associate","Yes"
11.1,81.6,51.6,"No","Doctorate","No"
2.4,66.2,69.9,"Yes","Bachelor","Yes"
9.2,82.3,76.4,"Yes","Bachelor","No"
11.4,74.7,38.9,"Yes","Associate","Yes"
10.1,42.2,80.1,"Yes","Bachelor","No"
2.5,86.3,61.1,"Yes","Associate","Yes"
13.4,83.7,59.5,"No","Master","Yes"
1.5,70.5,61.1,"No","High School","No"
14.1,70,67.8,"Yes","High School","No"
13.7,86.7,87.8,"No","Associate","Yes"
7.7,72.3,66.6,"No","Associate","Yes"
12.5,82.5,72.1,"No","Doctorate","No"
7.9,55.7,77.2,"Yes","Master","No"
11.1,67.1,77.1,"Yes","Doctorate","Yes"
4.3,73,72.3,"Yes","Master","Yes"
11.3,57.4,68.4,"Yes","Doctorate","No"
